,movie,production_budget,domestic_gross,worldwide_gross,total_gross,profit
5643,Bacheha-Ye aseman,180000,933933,1628579,2562512,2382512
4734,Bachelorette,3000000,446770,12577401,13024171,10024171
2723,Back to the Future,19000000,212259762,385524784,597784546,578784546
1384,Back to the Future Part II,40000000,118450002,332000000,450450002,410450002
1398,Back to the Future Part III,40000000,88055283,244088654,332143937,292143937
2371,Bad Boys,23000000,65647413,141247413,206894826,183894826
247,Bad Boys II,130000000,138540870,273271982,411812852,281812852
733,Bad Company,70000000,30157016,69157016,99314032,29314032
2498,Bad Moms,20000000,113257297,180998716,294256013,274256013
2774,Bad Santa,18000000,60060328,77147031,137207359,119207359
2726,Bad Teacher,19000000,100292856,215448997,315741853,296741853
1809,Bad Times at the El Royale,32000000,17839115,29204379,47043494,15043494
3643,Bad Words,10000000,7779614,7843145,15622759,5622759
3837,Baggage Claim,8500000,21569509,22885836,44455345,35955345
5626,Baghead,200000,140016,140016,280032,80032
3285,Bajrangi Bhaijaan,13000000,8178001,121778347,129956348,116956348
1946,Ballerina,30000000,21858070,96892829,118750899,88750899
5346,Bambi,858000,102797000,268000000,370797000,369939000
658,Bandits,75000000,41523271,71523271,113046542,38046542
1312,Bangkok Dangerous,45000000,15298133,46598133,61896266,16896266
3348,Barbershop,12000000,75781642,77063461,152845103,140845103
2772,Barbershop 2: Back in Business,18000000,65070412,65842412,130912824,112912824
2521,Barbershop: The Next Cut,20000000,54030051,54404202,108434253,88434253
4417,Barfi,4600000,2804874,36751984,39556858,34956858
3094,Barney's Great Adventure,15000000,11156471,11156471,22312942,7312942
1077,Barnyard: The Original Party Animals,51000000,72779000,118583844,191362844,140362844
3488,Barry Lyndon,11000000,20000000,20169934,40169934,29169934
1168,Basic,50000000,26599248,42598498,69197746,19197746
4722,Basquiat,3000000,2962051,2962051,5924102,2924102
4858,Bathing Beauty,2361000,3500000,3500000,7000000,4639000
1626,Batman,35000000,251188924,411348924,662537848,627537848
276,Batman & Robin,125000000,107325195,238317814,345643009,220643009
166,Batman Begins,150000000,205343774,359142722,564486496,414486496
365,Batman Forever,100000000,184031112,336529144,520560256,420560256
542,Batman Returns,80000000,162833635,266824291,429657926,349657926
17,Batman v Superman: Dawn of Justice,250000000,330360194,867500281,1197860475,947860475
4093,Bats,6500000,10155691,10155691,20311382,13811382
5019,Battle for the Planet of the Apes,1800000,8800000,8800000,17600000,15800000
2275,Battle of the Sexes,25000000,12638526,18445379,31083905,6083905
2650,Battle of the Year,20000000,8888355,16723377,25611732,5611732
709,Battle: Los Angeles,70000000,83552429,213463976,297016405,227016405
31,Battleship,220000000,65233400,313477717,378711117,158711117
885,Baywatch,60000000,58060186,175863783,233923969,173923969
651,Be Cool,75000000,55849401,94944017,150793418,75793418
2639,Be Kind Rewind,20000000,11175164,30894247,42069411,22069411
2886,Beastly,17000000,27865571,38028230,65893801,48893801
5017,Beasts of the Southern Wild,1800000,12795746,23265132,36060878,34260878
1184,Beautiful Creatures,50000000,19452138,60282876,79735014,29735014
2217,Beauty Shop,25000000,36351350,38351350,74702700,49702700
134,Beauty and the Beast,160000000,504014165,1259199706,1763213871,1603213871
3355,Beavis and Butt-Head Do America,12000000,63118386,63118386,126236772,114236772
1546,Because I Said So,39000000,42674040,69538833,112212873,73212873
