,title,domestic_gross,year
398,Scream 4,38200000,2011
3158,Second Act,39300000,2018
95,Secretariat,59700000,2010
1568,Selma,52100000,2014
1533,Sex Tape,38500000,2014
24,Sex and the City 2,95300000,2010
105,She's Out of My League,32000000,2010
3146,Sherlock Gnomes,43200000,2018
339,Sherlock Holmes: A Game of Shadows,186800000,2011
4,Shrek Forever After,238700000,2010
22,Shutter Island,128000000,2010
1948,Sicario,46900000,2015
3155,Sicario: Day of the Soldado,50100000,2018
1221,Side Effects (2013),32200000,2013
760,Silver Linings Playbook,132100000,2012
2334,Sing,270400000,2016
808,Sinister,48100000,2012
1935,Sisters,87000000,2015
728,Skyfall,304400000,2012
3110,Skyscraper,68400000,2018
3171,Slender Man,30600000,2018
3118,Smallfoot,83200000,2018
2804,Smurfs: The Lost Village,45000000,2017
2850,Snatched,45900000,2017
1245,Snitch,42900000,2013
745,Snow White and the Huntsman,155300000,2012
3101,Solo: A Star Wars Story,213800000,2018
425,Something Borrowed,39000000,2011
1565,Son of God,59700000,2014
435,Soul Surfer,43900000,2011
383,Source Code,54700000,2011
1945,Southpaw,52400000,2015
1877,Spectre,200100000,2015
2763,Spider-Man: Homecoming,334200000,2017
3102,Spider-Man: Into The Spider-Verse,190200000,2018
2792,Split,138300000,2017
1942,Spotlight,45100000,2015
1904,Spy,110800000,2015
405,Spy Kids: All the Time in the World,38500000,2011
1575,St. Vincent,44100000,2014
2347,Star Trek Beyond,158800000,2016
1140,Star Trek Into Darkness,228800000,2013
793,Star Wars: Episode I - The Phantom Menace (in 3D),43500000,2012
1872,Star Wars: The Force Awakens,936700000,2015
2758,Star Wars: The Last Jedi,620200000,2017
44,Step Up 3-D,42400000,2010
778,Step Up Revolution,35100000,2012
2367,Storks,72700000,2016
1910,Straight Outta Compton,161200000,2015
403,Sucker Punch,36400000,2011
2331,Suicide Squad,325100000,2016
2356,Sully,125100000,2016
349,Super 8,127000000,2011
3152,Tag,54700000,2018
746,Taken 2,139900000,2012
1893,Taken 3,89300000,2015
83,Takers,57700000,2010
1547,Tammy,84500000,2014
7,Tangled,200800000,2010
738,Ted,218800000,2012
1907,Ted 2,81500000,2015
3170,Teen Titans Go! To The Movies,29800000,2018
1492,Teenage Mutant Ninja Turtles (2014),191200000,2014
2354,Teenage Mutant Ninja Turtles: Out of the Shadows,82100000,2016
1888,Terminator: Genisys,89800000,2015
1239,Texas Chainsaw 3D,34300000,2013
821,That's My Boy,36900000,2012
3167,The 15:17 to Paris,36300000,2018
2396,The 5th Wave,34900000,2016
40,The A-Team,77200000,2010
2378,The Accountant,86300000,2016
390,The Adjustment Bureau,62500000,2011
343,The Adventures of Tintin,77600000,2011
1956,The Age of Adaline,42600000,2015
733,The Amazing Spider-Man,262000000,2012
1485,The Amazing Spider-Man 2,202900000,2014
86,The American,35600000,2010
2345,The Angry Birds Movie,107500000,2016
387,The Artist,44700000,2011
2368,The BFG,55500000,2016
78,The Back-Up Plan,37500000,2010
779,The Best Exotic Marigold Hotel,46400000,2012
1215,The Best Man Holiday,70500000,2013
1924,The Big Short,70300000,2015
2854,The Big Sick,42900000,2017
45,The Book of Eli,94800000,2010
1549,The Book of Life (2014),50200000,2014
2411,The Boss,63300000,2016
2775,The Boss Baby,175000000,2017
50,The Bounty Hunter,67099999,2010
756,The Bourne Legacy,113200000,2012
1540,The Boxtrolls,50800000,2014
2421,The Boy (2016),35800000,2016
1970,The Boy Next Door,35400000,2015
818,The Cabin in the Woods,42100000,2012
1218,The Call,51900000,2013
791,The Campaign,86900000,2012
415,The Change-Up,37100000,2011
11,The Chronicles of Narnia: The Voyage of the Dawn Treader,104400000,2010
3132,The Commuter,36300000,2018
1149,The Conjuring,137400000,2013
2349,The Conjuring 2,102500000,2016
100,The Crazies,39100000,2010
1137,The Croods,187200000,2013
1984,The DUFF,34000000,2015
729,The Dark Knight Rises,448100000,2012
2826,The Dark Tower,50700000,2017
438,The Debt,31200000,2011
367,The Descendants,82600000,2011
795,The Devil Inside,53300000,2012
770,The Dictator,59700000,2012
419,The Dilemma,48500000,2011
2369,The Divergent Series: Allegiant,66200000,2016
1896,The Divergent Series: Insurgent,130199999,2015
2802,The Emoji Movie,86100000,2017
1520,The Equalizer,101500000,2014
3121,The Equalizer 2,102100000,2018
26,The Expendables,103100000,2010
751,The Expendables 2,85000000,2012
1514,The Expendables 3,39300000,2014
1208,The Family (2013),36900000,2013
2760,The Fate of the Furious,226000000,2017
1503,The Fault in our Stars,124900000,2014
3139,The Favourite,34400000,2018
53,The Fighter,93600000,2010
3128,The First Purge,69500000,2018
824,The Five-Year Engagement,28800000,2012
2817,The Foreigner,34400000,2017
1593,The Gambler,33700000,2014
1966,The Gift (2015),43800000,2015
2371,The Girl on the Train (2016),75400000,2016
351,The Girl with the Dragon Tattoo (2011),102500000,2011
1567,The Giver,45100000,2014
1892,The Good Dinosaur,123100000,2015
1522,The Grand Budapest Hotel,59300000,2014
1146,The Great Gatsby (2013),144800000,2013
2786,The Great Wall,45500000,2017
2778,The Greatest Showman,174300000,2017
352,The Green Hornet,98800000,2011
809,The Grey,51600000,2012
835,The Guilt Trip,37100000,2012
335,The Hangover Part II,254500000,2011
1145,The Hangover Part III,112200000,2013
3186,The Hate U Give,29700000,2018
1917,The Hateful Eight,54100000,2015
1162,The Heat,159600000,2013
355,The Help,169700000,2011
2810,The Hitman's Bodyguard,75500000,2017
730,The Hobbit: An Unexpected Journey,303000000,2012
1478,The Hobbit: The Battle of the Five Armies,255100000,2014
1130,The Hobbit: The Desolation of Smaug,258399999,2013
3130,The House With A Clock In Its Walls,68500000,2018
1551,The Hundred-Foot Journey,54200000,2014
735,The Hunger Games,408000000,2012
1131,The Hunger Games: Catching Fire,424700000,2013
1481,The Hunger Games: Mockingjay - Part 1,337100000,2014
1880,The Hunger Games: Mockingjay - Part 2,281700000,2015
2373,The Huntsman: Winter's War,48400000,2016
414,The Ides of March,41000000,2011
1511,The Imitation Game,91100000,2014
